,0,1
0,"('1h', 10, 9, '4h', 37, 54, 19, 384, 390)","[[1.00000000e+00 1.00000000e+02            nan 3.95772924e+00
  1.16885188e+00 7.22359458e-03 3.79890861e-03]]"
1,"('1d', 5, 5, '4h', 7, 41, 19, 588, 979)","[[7.00000000e+00 7.14285714e+01 1.61921330e+00 1.81395153e+00
  1.01851341e+00 2.23987446e-02 4.96279523e-02]]"
2,"('5 min', 10, 12, '5 min', 26, 25, 19, 837, -334)","[[2.42000000e+02 5.24793388e+01 1.13684126e+00 1.79278009e+00
  1.00621532e+00 6.33996938e-02 6.39150651e-02]]"
3,"('5 min', 10, 16, '1h', 45, 28, 19, 588, 979)","[[3.50000000e+01 8.00000000e+01 1.81077457e+00 3.55192156e+00
  1.01557285e+00 1.04142352e-01 4.55941435e-02]]"
4,"('30 min', 5, 5, '1 min', 34, 28, 19, 288, 510)","[[3.26000000e+02 5.60000000e+01 1.20952562e+00 3.25070083e+00
  1.01043928e+00 1.26512629e-01 1.13545004e-01]]"
5,"('5 min', 5, 16, '15 min', 37, 25, 19, 778, 829)","[[1.21000000e+02 6.25000000e+01 1.61439636e+00 4.27449250e+00
  1.01495754e+00 1.58109007e-01 8.07038442e-02]]"
6,"('1h', 5, 16, '1 min', 42, 46, 19, 72, 855)","[[2.95000000e+02 9.01694915e+01 1.90771021e+00 5.75134768e+00
  1.02147292e+00 1.74630369e-01 4.92131380e-02]]"
7,"('30 min', 5, 2, '1 min', 34, 22, 19, 468, -117)","[[5.32000000e+02 3.78531073e+01 1.36401367e+00 6.83850125e+00
  1.02379985e+00 2.42465225e-01 5.62989442e-02]]"
8,"('30 min', 5, 2, '1 min', 42, 20, 19, 614, -175)","[[3.90000000e+02 4.55012853e+01 1.50810571e+00 7.03064306e+00
  1.02301450e+00 2.68248906e-01 5.17871600e-02]]"
9,"('30 min', 5, 2, '1 min', 26, 20, 19, 875, -250)","[[3.63000000e+02 4.83425414e+01 1.51799370e+00 6.84306139e+00
  1.02148995e+00 2.77773786e-01 4.60623429e-02]]"
10,"('30 min', 10, 2, '15 min', 31, 28, 19, 778, 829)","[[6.10000000e+01 7.00000000e+01 3.37096537e+00 8.87021453e+00
  1.03447551e+00 2.89430272e-01 4.23557198e-02]]"
11,"('30 min', 5, 2, '1 min', 29, 20, 19, 254, 827)","[[4.71000000e+02 5.25531915e+01 1.54271175e+00 7.55215890e+00
  1.02390852e+00 2.99495388e-01 5.83436014e-02]]"
